fold,train_years,test_years,n_train,n_test,rmse,mae
1,1950-1971,1971-1982,4549,4547,0.1623155777903392,0.10597009630310747
2,1950-1982,1982-1992,9096,4547,0.1366202032913727,0.08129440522792124
3,1950-1992,1992-2004,13643,4547,0.14506953669825418,0.0863261224901631
4,1950-2004,2004-2015,18190,4547,0.1516389596186108,0.09878625668027045
5,1950-2015,2015-2026,22737,4547,0.13993341477839139,0.09254505588098605
